deg,mi,mean,norm2,median
3284.0,1.7374356163838287,0.3437380305277214,59.78827602469108,0.238352416145802
3405.0,1.6815803482248086,0.3948715352106026,76.45232525186782,0.2289905655234308
1222.0,1.8725092315118808,0.28866236828701963,55.34754638187688,0.16929048381801717
87.0,1.9805355473984005,0.22499883161617976,42.15290569435315,0.1352661885188986
86.0,2.00493849488818,0.22662658702545116,43.61246804240878,0.13165693553347738
559.0,1.9523004908051922,0.25779435833838693,47.794866957058055,0.16343521776844405
5.0,2.074969384901154,0.19511591061893377,39.567455770433774,0.1048995581039264
1584.0,1.9275684594230231,0.29222386414084933,52.285619717518834,0.19288746529183554
80.0,2.0384837964993108,0.21630410226248611,42.84522569683432,0.11885965494436582
153.0,2.0279207584130097,0.232368309134164,47.67731108451036,0.12214585507036993
2755.0,1.7222850758232087,0.35744149596935765,67.40670188031237,0.2148054803139981
275.0,1.9236831732480897,0.24879293820417148,47.75557933725942,0.14839938853139417
1103.0,1.8638494104659993,0.2749960844360053,51.570423849693945,0.16857393010999158
661.0,1.9097799848540546,0.26613646394082413,50.43685100140414,0.16018529567897652
681.0,1.9338305682413193,0.26673681672830424,51.54796523704864,0.15207909115476012
3557.0,1.698381318009723,0.3702751524385546,68.17455664084449,0.23643743562418798
1675.0,1.847136207332496,0.30693211730988557,59.333504393318115,0.1824450687855616
1272.0,1.8652193179545522,0.2859276054129203,54.19813704896908,0.1693783587599449
5.0,2.1130907698505443,0.19409170934023579,37.660199933448936,0.11062729065269332
171.0,2.0306713452245013,0.23427320337639812,45.32125530114951,0.135110306277198
702.0,1.9519517606638335,0.26964158669971683,51.94191585265177,0.1616815801224863
2841.0,1.7291595512652431,0.3524717541301135,65.23367896089192,0.22065660261627656
2144.0,1.8146405497111222,0.31995430448914086,57.21247869237783,0.20481822266080096
875.0,1.9269797537468503,0.27306366095847234,53.45736732710482,0.1516855949324574
